manufacturer,url
acer,https://www.gsmarena.com/acer-phones-59.php
alcatel,https://www.gsmarena.com/alcatel-phones-5.php
allview,https://www.gsmarena.com/allview-phones-88.php
amazon,https://www.gsmarena.com/amazon-phones-76.php
amoi,https://www.gsmarena.com/amoi-phones-28.php
apple,https://www.gsmarena.com/apple-phones-48.php
archos,https://www.gsmarena.com/archos-phones-90.php
asus,https://www.gsmarena.com/asus-phones-46.php
at&t,https://www.gsmarena.com/at&t-phones-57.php
benefon,https://www.gsmarena.com/benefon-phones-15.php
benq,https://www.gsmarena.com/benq-phones-31.php
benq_siemens,https://www.gsmarena.com/benq_siemens-phones-42.php
bird,https://www.gsmarena.com/bird-phones-34.php
blackberry,https://www.gsmarena.com/blackberry-phones-36.php
blackview,https://www.gsmarena.com/blackview-phones-116.php
blu,https://www.gsmarena.com/blu-phones-67.php
bosch,https://www.gsmarena.com/bosch-phones-10.php
bq,https://www.gsmarena.com/bq-phones-108.php
casio,https://www.gsmarena.com/casio-phones-77.php
cat,https://www.gsmarena.com/cat-phones-89.php
celkon,https://www.gsmarena.com/celkon-phones-75.php
chea,https://www.gsmarena.com/chea-phones-24.php
coolpad,https://www.gsmarena.com/coolpad-phones-105.php
cubot,https://www.gsmarena.com/cubot-phones-130.php
dell,https://www.gsmarena.com/dell-phones-61.php
doogee,https://www.gsmarena.com/doogee-phones-129.php
emporia,https://www.gsmarena.com/emporia-phones-93.php
energizer,https://www.gsmarena.com/energizer-phones-106.php
ericsson,https://www.gsmarena.com/ericsson-phones-2.php
eten,https://www.gsmarena.com/eten-phones-40.php
fairphone,https://www.gsmarena.com/fairphone-phones-127.php
fujitsu_siemens,https://www.gsmarena.com/fujitsu_siemens-phones-50.php
garmin_asus,https://www.gsmarena.com/garmin_asus-phones-65.php
gigabyte,https://www.gsmarena.com/gigabyte-phones-47.php
gionee,https://www.gsmarena.com/gionee-phones-92.php
google,https://www.gsmarena.com/google-phones-107.php
haier,https://www.gsmarena.com/haier-phones-33.php
honor,https://www.gsmarena.com/honor-phones-121.php
hp,https://www.gsmarena.com/hp-phones-41.php
htc,https://www.gsmarena.com/htc-phones-45.php
huawei,https://www.gsmarena.com/huawei-phones-58.php
i_mate,https://www.gsmarena.com/i_mate-phones-35.php
i_mobile,https://www.gsmarena.com/i_mobile-phones-52.php
icemobile,https://www.gsmarena.com/icemobile-phones-69.php
infinix,https://www.gsmarena.com/infinix-phones-119.php
innostream,https://www.gsmarena.com/innostream-phones-29.php
inq,https://www.gsmarena.com/inq-phones-60.php
intex,https://www.gsmarena.com/intex-phones-102.php
itel,https://www.gsmarena.com/itel-phones-131.php
jolla,https://www.gsmarena.com/jolla-phones-84.php
karbonn,https://www.gsmarena.com/karbonn-phones-83.php
kyocera,https://www.gsmarena.com/kyocera-phones-17.php
lava,https://www.gsmarena.com/lava-phones-94.php
leeco,https://www.gsmarena.com/leeco-phones-109.php
lenovo,https://www.gsmarena.com/lenovo-phones-73.php
lg,https://www.gsmarena.com/lg-phones-20.php
maxon,https://www.gsmarena.com/maxon-phones-14.php
maxwest,https://www.gsmarena.com/maxwest-phones-87.php
meizu,https://www.gsmarena.com/meizu-phones-74.php
micromax,https://www.gsmarena.com/micromax-phones-66.php
microsoft,https://www.gsmarena.com/microsoft-phones-64.php
mitac,https://www.gsmarena.com/mitac-phones-25.php
mitsubishi,https://www.gsmarena.com/mitsubishi-phones-8.php
modu,https://www.gsmarena.com/modu-phones-63.php
motorola,https://www.gsmarena.com/motorola-phones-4.php
mwg,https://www.gsmarena.com/mwg-phones-56.php
nec,https://www.gsmarena.com/nec-phones-12.php
neonode,https://www.gsmarena.com/neonode-phones-22.php
niu,https://www.gsmarena.com/niu-phones-79.php
nokia,https://www.gsmarena.com/nokia-phones-1.php
nothing,https://www.gsmarena.com/nothing-phones-128.php
nvidia,https://www.gsmarena.com/nvidia-phones-97.php
o2,https://www.gsmarena.com/o2-phones-30.php
oneplus,https://www.gsmarena.com/oneplus-phones-95.php
oppo,https://www.gsmarena.com/oppo-phones-82.php
orange,https://www.gsmarena.com/orange-phones-71.php
oukitel,https://www.gsmarena.com/oukitel-phones-132.php
palm,https://www.gsmarena.com/palm-phones-27.php
panasonic,https://www.gsmarena.com/panasonic-phones-6.php
pantech,https://www.gsmarena.com/pantech-phones-32.php
parla,https://www.gsmarena.com/parla-phones-81.php
philips,https://www.gsmarena.com/philips-phones-11.php
plum,https://www.gsmarena.com/plum-phones-72.php
posh,https://www.gsmarena.com/posh-phones-101.php
prestigio,https://www.gsmarena.com/prestigio-phones-86.php
qmobile,https://www.gsmarena.com/qmobile-phones-103.php
qtek,https://www.gsmarena.com/qtek-phones-38.php
razer,https://www.gsmarena.com/razer-phones-117.php
realme,https://www.gsmarena.com/realme-phones-118.php
sagem,https://www.gsmarena.com/sagem-phones-13.php
samsung,https://www.gsmarena.com/samsung-phones-9.php
sendo,https://www.gsmarena.com/sendo-phones-18.php
sewon,https://www.gsmarena.com/sewon-phones-26.php
sharp,https://www.gsmarena.com/sharp-phones-23.php
siemens,https://www.gsmarena.com/siemens-phones-3.php
sonim,https://www.gsmarena.com/sonim-phones-54.php
sony,https://www.gsmarena.com/sony-phones-7.php
sony_ericsson,https://www.gsmarena.com/sony_ericsson-phones-19.php
spice,https://www.gsmarena.com/spice-phones-68.php
t_mobile,https://www.gsmarena.com/t_mobile-phones-55.php
tcl,https://www.gsmarena.com/tcl-phones-123.php
tecno,https://www.gsmarena.com/tecno-phones-120.php
tel_me_,https://www.gsmarena.com/tel_me_-phones-21.php
telit,https://www.gsmarena.com/telit-phones-16.php
thuraya,https://www.gsmarena.com/thuraya-phones-49.php
toshiba,https://www.gsmarena.com/toshiba-phones-44.php
ulefone,https://www.gsmarena.com/ulefone-phones-124.php
unnecto,https://www.gsmarena.com/unnecto-phones-91.php
vertu,https://www.gsmarena.com/vertu-phones-39.php
verykool,https://www.gsmarena.com/verykool-phones-70.php
vivo,https://www.gsmarena.com/vivo-phones-98.php
vk_mobile,https://www.gsmarena.com/vk_mobile-phones-37.php
vodafone,https://www.gsmarena.com/vodafone-phones-53.php
wiko,https://www.gsmarena.com/wiko-phones-96.php
wnd,https://www.gsmarena.com/wnd-phones-51.php
xcute,https://www.gsmarena.com/xcute-phones-43.php
xiaomi,https://www.gsmarena.com/xiaomi-phones-80.php
xolo,https://www.gsmarena.com/xolo-phones-85.php
yezz,https://www.gsmarena.com/yezz-phones-78.php
yota,https://www.gsmarena.com/yota-phones-99.php
yu,https://www.gsmarena.com/yu-phones-100.php
zte,https://www.gsmarena.com/zte-phones-62.php
